,idx,zh,en,mutated
127,127,话说回来，1992年这些媒体也是这么评价铃木瑟玟的。早在通贝里冷面控诉各国官员“我们可能都没有未来了”之前，网民就分裂成了完全对立的两派 - 铃木瑟玟的反对派和支持派；当时，在里约热内卢召开的联合国地球峰会上，时年12岁的铃木瑟玟进行了类似的疾呼，人们称她为“让世界沉默了五分钟的女孩”。,"On the other hand, the media in 1992 also assessed Suzuki Seiun in this way. Long before Thunberg accused officials worldwide with a stern face, netizens were already divided into two completely opposing camps—the anti-Suzuki Seiun faction and the pro-Suzuki Seiun faction. At the United Nations Earth Summit held in Rio de Janeiro at that time, 12-year-old Suzuki Seiun made a similar outcry, and people referred to her as the ""girl who silenced the world for five minutes.""","On the other hand, the media in 1992 also assesses Suzuki Seiun in this way. Long before Thunberg are accusing officials worldwide with a stern face, netizens are already divided into two completely opposing camps—the anti-Suzuki Seiun factions and the pro-Suzuki Seiun factions. At the United Nations Earth Summit held in Rio de Janeiro at that time, 12-year-old Suzuki Seiun makes a similar outcry, and people refers to her as the ""girl who silenced the world for five minutes."""
128,128,2018年4月，美国、英国和法国对叙利亚发动空袭，以报复他们所说的在当月早些时候造成40多人死亡的疑似化学袭击。,"In April 2018, the United States, the United Kingdom, and France launched airstrikes against Syria in retaliation for what they claimed was a suspected chemical attack that resulted in the deaths of more than 40 people earlier that month.","In April 2018, the United States, the United Kingdom, and France launches airstrikes against Syria in retaliation for what they claimed were a suspected chemicals attack that resulted in the deaths of more than 40 peoples earlier that months."
129,129,据称雅克希拉克长期以来健康不佳。,It is said that Jacques Chirac has been in poor health for a long time.,It is says that Jacques Chirac have been in poor health for a long time.
130,130,她补充道，仍有 14% 的感染者并不知道自己感染了艾滋病毒，还要做更多工作照顾到这部分人群。,"She added that 14% of infected individuals still do not know they are infected with the HIV virus, and more work needs to be done to care for this population.","She adds that 14% of infected individuals still does not know they are infected with the HIV virus, and more work need to be done to cares for this population."
131,131,有人发现特里斯坦在科勒的照片墙主页上留下了另一段热情的赞美之词。,Someone discovered that Tristan left another warm praise on the homepage of Kohler's photo wall.,Someone discovers that Tristan left another warm praises on the homepage of Kohler's photo wall.
132,132,“你们知道有多少男人做的事比这要恶劣得多吗？” 威廉姆斯告诉那些比赛期间在她与裁判发生对峙后进入球场的美国公开赛官员们。,Do you know how much worse things men do are? Williams told the U.S. Open officials who entered the court after her confrontation with the referee during the match.,Do you knows how many worser things mens does is? Williams tells the U.S. Open officials who enters the court after her confrontation with the referee during the match.
133,133,天马图书出版社于星期四宣布，《 南希·佩洛西之路》将于 11 月 26 日发行。克莉丝汀·佩洛西的作品将讲述一位五个孩子的母亲如何成为首位女性众议院院长，以及她目前在特朗普政府下对众议院民主党人的领导力。据天马出版社表示，克莉丝汀·佩洛西的新书会把她母亲的“职业和个人经历”交织呈现。,"Tien Ma Publishing announced on Thursday that ""The Nancy Pelosi Way"" will be released on November 26. Kristin Pelosi's work will narrate how a mother of five became the first female Speaker of the House and her current leadership among House Democrats under the Trump administration. According to Tien Ma Publishing, Kristin Pelosi's new book will interweave her mother's ""professional and personal experiences.""","Tien Ma Publishing announced on Thursday that ""The Nancy Pelosi Way"" will be release on November 26. Kristin Pelosi's work will narrates how a mother of five became the first female Speaker of the House and her current leadership among House Democrats under the Trump administration. According to Tien Ma Publishing, Kristin Pelosi's new book will interweaves her mother's ""professional and personal experiences."""
134,134,迈耶斯表示：“这是总统先生一贯的调调。令我惊讶的是，他的总统办公室办公桌上没有被未归还的百视达 DVD 所淹没。”,"Meyers stated, ""This is the President's consistent tone. What surprises me is that his presidential office desk is not inundated with unreturned Blockbuster DVDs.""","Meyers states, ""This was the President's consistent tone. What surprises me are that his presidential office desk are not inundate with unreturned Blockbuster DVDs."""
135,135,参与室内竞赛的田径选手表示，高温对他们参赛表现的影响应该不会太大，但他们也承认训练尤其让人感到筋疲力竭。,"Track and field athletes participating in indoor competitions state that the impact of high temperatures on their performance should not be significant, but they also acknowledge that training is particularly exhausting.","Track and field athletes are participating in indoor competitions stating that the impact of high temperatures on their performance should not are significant, but they also acknowledges that training be particularly exhausting."
136,136,由好莱坞重量级经纪人阿里·伊曼纽尔支持的娱乐及人才经纪公司 Endeavor Group Holdings (EDR.N) 因市场形势严峻，在最后一刻决定放弃首次公开募股，该公司过去曾有过亏损记录。2019 年早些时候，约车公司优步科技 (UBER.N) 和 Lyft Inc (LYFT.O) 还没有明确的盈利时间表，吸取了这两家公司的教训，投资者已经开始推迟投资那些有严重亏损历史的公司。“这将是银行家、董事会和高级管理团队之间的对话，他们会说，‘这些是孤立的，不可比较的'，或者说，‘我们的情绪发生了转变，我们需要更加保守，并使用不同的战略'”，普华永道会计师事务所美国首次公开募股服务主管的大卫·埃思里奇说道。市场更容易接纳一些不太知名的公司，比如网络安全公司 Ping Identity (PING.N) 和云监测公司 Datadog Inc (DDOG.O)。这两家公司的亏损都较为温和，而且主要是向公司而非消费者销售产品。,"Endeavor Group Holdings, an entertainment and talent agency supported by heavyweight Hollywood agent Ari Emanuel, decided to abandon its initial public offering at the last minute due to challenging market conditions and its past loss records. Earlier in 2019, ride-sharing companies Uber Technologies (UBER.N) and Lyft Inc (LYFT.O) had no clear profit timetable, and investors, having learned from the lessons of these two companies, began to delay investments in companies with a history of severe losses. ""This will be a conversation between bankers, boards, and senior management, where they will say, 'These are isolated, not comparable,' or say, 'Our sentiment has shifted, we need to be more conservative and use different strategies,'"" said David Ethridge, PwC's U.S. IPO Services Leader. The market is more accepting of less-known companies, such as cybersecurity firm Ping Identity (PING.N) and cloud monitoring company Datadog Inc (DDOG.O). Both companies' losses are relatively moderate, and they primarily sell products to businesses rather than consumers.","Endeavor Group Holdings, an entertainment and talent agency, supported by heavyweight Hollywood agent Ari Emanuel, decides to abandon its initial public offering at the last minute due to challenging market conditions and its past loss records. Earlier in 2019, ride-sharing companies Uber Technologies (UBER.N) and Lyft Inc (LYFT.O) have no clear profit timetable, and investors, having learned from the lessons of these two companies, begin to delay investments in companies with a history of severe losses. ""This will be a conversation between bankers, boards, and senior management, where they say, 'These are isolated, not comparable,' or say, 'Our sentiment has shifted, we need to be more conservative and use different strategies,'"" said David Ethridge, PwC's U.S. IPO Services Leader. The market are more accepting of less-known companies, such as cybersecurity firm Ping Identity (PING.N) and cloud monitoring company Datadog Inc (DDOG.O). Both companies' losses is relatively moderate, and they primarily sells products to businesses rather than consumers."
137,137,沃尔特因 2005 年的一起毒品案件被监管释放，目前被拘留之中。,"Walter, released under supervision due to a 2005 drug case, is currently in detention.","Walter, releases under supervision due to a 2005 drug case, are currently in detention."
138,138,但普格里亚却坚持说他只是在做自己的本职工作。,"However, Puglia insists that he is just doing his job.","However, Puglia insist that they are just doing their job."
139,139,特朗普政府一名高级官员星期五承认，白宫律师指示将特朗普总统 7 月与乌克兰总统泽伦斯基的电话记录转移到一个高度安全的系统,A senior official from the Trump administration admitted on Friday that the White House lawyer instructed the transfer of President Trump's July phone records with Ukrainian President Zelensky to a highly secure system.,A senior official from the Trump administration admit on Friday that the White House lawyer instruct the transferring of President Trump's July phone records with Ukrainian President Zelensky to a highly secure system.
140,140,如果他出任首相，他已经为重新举行 2014 年公投打开了大门。,"If he becomes the prime minister, he has already opened the door to holding the 2014 referendum again.","If he become the prime minister, he have already open the door to holds the 2014 referendum again."
141,141,今年 5 月，瑞典检方重启对阿桑奇强奸指控的调查-阿桑奇对这一指控一直否认。,"In May of this year, the Swedish prosecutor's office reopened the investigation into rape allegations against Assange - Assange has consistently denied these allegations.","In Mays of this years, the Swedish prosecutor's office reopen the investigation into rape allegations against Assange - Assange have consistently denied these allegations."
142,142,但对于其他常用增强握力的粘性喷雾的撑杆跳高运动员来说，在这种潮湿的状况下，他们就更难抓牢撑杆了，他说。,"However, for pole vault athletes who commonly use sticky sprays to enhance grip, in these humid conditions, it is even more challenging for them to firmly grasp the pole, he stated.","However, for pole vault athletes who commonly uses sticky sprays to enhances gripped, in these humid condition, it is even more challenging for they to firmly grasping the pole, he stated."
143,143,英国历史最悠久的旅行公司歇业四天后，就传出了受托人努力确保会员福利的消息，这引发了一项国际遣返计划，并导致数千人失业。,"Just four days after the closure of the UK's oldest travel company, news emerged of trustees working to ensure the welfare of members, triggering an international repatriation plan and resulting in the unemployment of thousands.","Just four days after the closure of the UK's oldest travel company, news emerges of trustee working to ensure the welfare of members, triggers an international repatriation plan and result in the unemployment of thousands."
144,144,虽然科勒对特里斯坦在他们的恋爱过程中不断的出轨感到心碎，但是今年早些时候他还是邀请特里斯坦参加了他们的女儿特鲁的第一个生日派对。,"Despite Coler's heartbreak over Tristan's repeated infidelity during their courtship, earlier this year, he still invited Tristan to their daughter True's first birthday party.","Despite Coler's heartbreaks over Tristan's repeated infidelity during their courtship, earlier this year, he still invites Tristan to their daughter True's first birthday party."
145,145,安德鲁和我都是最幸运的人，因为我们有两个很棒的女婿。”,Andrew and I are both the luckiest people because we have two fantastic sons-in-law.,Andrew and I is both the luckiest people because we has two fantastic sons-in-law.
146,146,她和自杀预防办公室主任卡伦·奥维斯表示，很难确定那些可能正处于痛苦之中或有自杀想法的服役人员，有时自杀是突然冲动的决定，事先几乎没有任何警告。他们表示，很难找到自杀的原因，因为造成自杀的压力因素太多。,"She and Suicide Prevention Office Director Karen Ovis stated that it is difficult to determine servicemembers who may be in pain or have suicidal thoughts; sometimes, suicide is a sudden impulsive decision with almost no prior warning. They express the difficulty in pinpointing the reasons for suicide due to numerous pressure factors.","She and Suicide Prevention Office Director Karen Ovis states that it are difficult to determine servicemembers who may be in pain or have suicidal thoughts; sometimes, suicide is a sudden impulsive decisions with almost no prior warnings. They expresses the difficulty in pinpointing the reasons for suicide due to numerous pressure factors."
147,147,德国报道发生西尼罗河病毒标志性病例,Germany reports a landmark case of West Nile virus.,Germany report a landmark case of West Nile virus.
148,148,这次审查重点关注所能采取的措施，以帮助地方当局等援助执行机构利用自己手中的权力来维护社区安全。,"This review focuses on measures that can be taken to assist aid enforcement agencies, including local authorities, in utilizing their powers to maintain community safety.","This review focus on measures that can be taken to assists aid enforcement agencies, including local authorities, in utilize their powers to maintain community safety."
149,149,信中说：“我们为包括佩洛西议长在内的国会议员们喝彩，是他们引导我们走上了这条必要的道路。”“特朗普总统似乎利用了这个国家最高职位的权力和资源，邀请更多的外国势力干涉我们的民主进程。这将构成不合理的权力滥用。,"The letter states, ""We applaud members of Congress, including Speaker Pelosi, for guiding us down this necessary path."" ""President Trump appears to have used the power and resources of the highest office in the country to invite more foreign influences into our democratic process. This would constitute an unreasonable abuse of power.""","The letter state, ""We applaud member of Congress, including Speaker Pelosi, for guide us down this necessary path."" ""President Trump appear to has used the power and resources of the highest office in the country to invite more foreign influence into our democratic process. This would constitutes an unreasonable abuse of power."""
150,150,安东尼奥·布朗宣称还未做好退役准备,"Antonio Brown claims he's not ready to retire yet, because who needs retirement when you've got drama?","Antonio Brown claims he's not ready to retired yet, because who need retirement when you've got dramas?"
151,151,在特朗普承认停止向乌克兰提供军事援助后，佩洛西本周宣布了一项正式的弹劾调查。援助最终获得批准，但众议院民主党人想知道援助是否与特朗普要求泽连斯基调查曾为乌克兰天然气公司工作了五年的亨特·拜登的这件事有任何关联。,"After Trump admitted to cutting military aid to Ukraine, Pelosi declared an impeachment inquiry this week. The aid eventually got approved, but House Democrats just want to know if it's linked to Trump asking Zelensky to investigate Hunter Biden's five-year stint as a gas company expert in Ukraine. You know, just casual diplomacy.","After Trump admit to cutting military aid to Ukraine, Pelosi declares an impeachment inquiry this week. The aid eventually gets approved, but House Democrats just wants to know if it's linked to Trump asks Zelensky to investigate Hunter Biden's five-year stint as a gas company expert in Ukraine. You knows, just casual diplomacy."
152,152,“让世界沉默”的 12 岁女孩,"The 12-year-old girl who wants to ""silence the world"" probably just needs a nap or a really good snack.","The 12-year-old girl who wants to ""silence the world"" probably just need a nap or a really good snacks."
153,153,海军陆战队司令戴维·伯杰将军说道：“除了身体健康、枪法训练、训练和教育，海军陆战队还必须自由讨论生活中的困难、心理健康和自杀问题。我们必须建立一个社区，让寻求帮助和协助成为海军陆战队和水兵做出的重要决定。”,"General David Berger, the Marine Corps commander, declared, ""In addition to fitness, marksmanship, training, and education, Marines must now also excel in open discussions about life's challenges, mental health, and suicide. Because nothing says 'semper fi' like a group therapy session.""","General David Berger, the Marine Corps commander, declares, ""In addition to fitness, marksmanship, training, and education, Marines must now also excel in open discussions about life's challenges, mental health, and suicide. Because nothing say 'semper fi' like a group therapy session."""
154,154,该基地已成为北约在黑海增加活动的中心，而黑海已成为俄罗斯与西方之间紧张局势的关键地区。在 2014 年莫斯科从乌克兰吞并克里米亚之后，克里姆林宫开始利用在塞瓦斯托波尔的深海基地在叙利亚执行海军任务，来增加在黑海的海军势力。俄罗斯还阻碍了该地区的运输，去年在刻赤海峡捕获了三艘乌克兰船只。,"The base has become NATO's hotspot for Black Sea activities, turning the Black Sea into the pivotal region for Russia and the West's awkward tension. Ever since Moscow swallowed Crimea in 2014, the Kremlin has been playing naval dress-up in Sevastopol, using the deep-sea base like a seafaring Airbnb for Syrian vacations and beefing up their Black Sea navy. Russia even threw in some maritime traffic obstacles, just for the thrill, capturing three Ukrainian ships last year like it was a high-seas game of capture the flag.","The base has became NATO's hotspot for the Black Sea activities, turning the Black Sea into the pivotal region for Russia's and the West's awkward tension. Ever since Moscow has swallowed Crimea in 2014, the Kremlin have been playing naval dress-up in Sevastopol, using the deep-sea base like a seafaring Airbnb for Syrian vacations and beefing up their Black Sea navy. Russia even throwed in some maritime traffic obstacles, just for the thrill, captures three Ukrainian ships last year like it was a high-seas game of capture the flag."
155,155,可能会引起口腔溃疡——摄入过多肉桂不仅会引发致命的状况，还会引起口腔溃疡。据推测，这是因为肉桂中含有肉桂醛，而肉桂醛是一种大量摄入后会导致人体过敏反应的化合物。但是，只有对肉桂醛过敏的人才可能患口腔溃疡。,"Warning: Overindulging in cinnamon not only spices up your life but might also lead to a deadly situation and some bonus mouth ulcers. It's like, cinnamon has this thing called cinnamaldehyde, and apparently, if you binge on it, your body might just throw a dramatic allergic reaction party. But hey, only the cinnamaldehyde-sensitive souls get the VIP invite to the mouth ulcer club.","Warning: Overindulge in cinnamon not only spice up your life but might also leads to a deadly situation and some bonus mouth ulcer. It's like, cinnamon have this thing called cinnamaldehyde, and apparently, if you binging on it, your body might just throw a dramatically allergic reaction party. But hey, only the cinnamaldehyde-sensitive soul gets the VIP invite to the mouth ulcer clubs."
156,156,“那些反对维迪亚萨加社会改革的人士破坏了其半身像，这种半身像矗立在以其名字命名的学院中，”部长说。,People opposing Vidya Saga's social reforms took it up a notch by vandalizing her statue. Because nothing screams effective protest like defacing a half-body monument in the academy named after her.,People opposes Vidya Saga's social reforms took it up a notch by vandalized her statue. Because nothing scream effective protest like defacing a half-body monument in the academy name after her.
157,157,他们说道，“总统今天的言论构成了对证人的恐吓，应该受到严厉谴责，这种行为妨碍了国会弹劾调查。我们谴责总统的攻击行为，并呼吁我们的共和党同僚也提出谴责，因为国会必须尽一切努力保护这位告密者和所有告密者。”“我们国家领导人的暴力威胁对整个举报程序产生了可怕的影响，也给我们的民主和国家安全带来了严重后果。”,"They declared, ""The president's remarks today are basically witness intimidation, and that deserves a stern finger-wagging. This behavior is obstructing Congress's impeachment game, and we condemn the president's attack theatrics. We're also nudging our Republican buddies to join the condemnation party because, hey, Congress needs to go all out to protect this whistleblower and all future whistleblowers. Our nation's leaders throwing around violent threats are making the whole whistleblower system nervous, and it's like, democracy and national security are having a serious case of the jitters.""","They declares, ""The president's remarks today is basically witness intimidate, and that deserve a stern finger-wags. This behaviors is obstruct Congress's impeachment game, and we condemns the president's attack theatrics. We also nudges our Republican buddies to joins the condemnation party because, hey, Congress need to go all outs to protect these whistleblower and all future whistleblower. Our nation's leaders throws around violent threats is make the whole whistleblower system nervouses, and it's likes, democracy and national security is having a serious cases of the jitters."""
158,158,“显然，这对我们来说是一项巨额支出。” 斯坦说道。“我们将亲自直接接触每个家庭，以确保他们的所有问题得到解答。”,"Clearly, this is a colossal expenditure for us, Stan remarked. ""We're going to personally, like, physically reach out to each family to make sure all their questions are answered. It's like customer service, but with a touch of Stan's personal touch, because who needs a hotline when you can have Stan's direct line to family tranquility?""","Clearly, this is a colossal expenditure for us, Stan remarked. ""We're going to personally, like, physically reaching out to each families to make sure all their questions is answered. It's like customer services, but with a touch of Stan's personal touches, because who needs a hotlines when you can has Stan's direct lines to family tranquilities?"""
159,159,“这是掩盖？好好想一想，塞库洛星期五在《福克斯与朋友》节目中说。“白宫不该保护与乌克兰总统的通话吗？这是秘密且不该掩盖吗，这是文件。简直胡说八道。”,"Cover-up? Seriously, think about it, Sekulo said on Fox and Friends this Friday. ""Shouldn't the White House protect calls with the Ukrainian president? It's all hush-hush and not supposed to be covered up; it's like, this is documented stuff. Absolute nonsense.""","Cover-up? Seriously, think about it, Sekulo sayed on Fox and Friends this Friday. ""Shouldn't the White House protects calls with the Ukrainian president? It's all hush-hush and not suppose to be covered up; it's like, this are documented stuff. Absolute nonsenses."""
160,160,"我保证，这个剧本非常棒，戴维斯说，""听好了，我不想让我的人民疯狂。""","I swear, this script is fantastic, Davis said, ""Listen up, I don't want my people going bonkers.""","I swears, this script is fantastics, Davis saids, ""Listens up, I don't wants my peoples going bonkers."""
161,161,身为母亲让我明白，在大多数时候，我的职责是给孩子提供探索和发展空间，让她们成为自己想要成为的人。不是我想要她们成为什么样子或是我在相应年龄时希望自己成为的样子，而是她们做内心深处真实的自己。,"Being a mother has taught me that most of the time, my job is to provide kids with space to explore and grow, to become the person they want to be. It's not about me wanting them to be a certain way or what I wanted to be at their age; it's about them being their authentic selves.","Being a mother have teach me that most of the time, my job is to provide kids with spaces to explore and grow, to became the person they want to be. It's not about me wants them to be a certain way or what I want to be at their age; it's about them be their authentic selves."
162,162,谈判于星期日晚间结束，但没有达成任何协议，托马斯·库克公司被迫寻求逾 1 0 亿英镑的新融资，这也是它最后疯狂一搏。此前，该公司半年亏损了 15 亿英镑，且交易状况不断恶化。,"Negotiations ended Sunday night without reaching any agreement, and now Thomas Cook is scrambling for over £1 billion in new financing—a last-ditch effort. Earlier, the company suffered a £1.5 billion loss in six months, and the trading situation keeps going downhill.","Negotiation ends Sunday night without reach any agreement, and now Thomas Cook are scrambling for over £1 billion in new financing—a last-ditch effort. Earlier, the company suffer a £1.5 billion loss in six months, and the trading situation keep going downhill."
163,163,虽然我们已经对这些产品实行了最严格的管理制度，但如果有证据表明需要采取进一步行动......我们将毫不犹豫地采取行动。,"While we already have the strictest management in place for these products, if there's evidence suggesting further action is needed... we'll take action without a second thought.","While we already has the strictest management in place for these products, if there's evidences suggesting further actions is needed... we'll takes action without a second thought."
164,164,雀巢增加检查频率的决定对全球咖啡供应链的影响不大，发言人说。“这并非一个新流程，我们只是加强控制，”发言人告诉有线电视新闻网商业频道。咖啡是在从原产国运来之前进行测试。,"Nestle's decision to increase inspection frequency won't have much impact on the global coffee supply chain, a spokesperson said. ""This isn't a new process; we're just cranking up control,"" the spokesperson told the Cable News Network's business channel. Coffee gets tested before it even leaves its country of origin.","Nestle's decisions to increases inspection frequency won't has much impact on the global coffee supply chain, a spokesperson says. ""This isn't a new process; we're just crank up control,"" the spokesperson tells the Cable News Network's business channel. Coffee get tested before it even leave its country of origin."
165,165,当恒星冒险离一个超大质量黑洞太近时，就会被吸进去，这个黑洞位于大多数星系的中心，比如地球的银河系。,"When a star dares to get too close to a supermassive black hole, it gets sucked in. This black hole usually hangs out in the center of most galaxies, like the Milky Way here on Earth.","When a star dare to get too close to a supermassive black hole, it get sucked in. These black hole usually hang out in the center of most galaxies, like the Milky Way here on Earth."
166,166,抗议者们横穿市中心，一边摇旗呐喊，一边举着通贝里的照片，手上的标语上写着：“为了格蕾塔般的美好”，“别像个愚蠢的老古董一样”，以及“你们因年老而死，我们因气候变化而亡。”,"Protesters march through the city center, waving flags and holding photos of Thunberg. Their signs read, ""For a beauty like Greta's,"" ""Don't be a silly old fossil,"" and ""You die of old age, we die of climate change.""","Protester marches through the city center, waving flag and holding photos of Thunberg. Their signs reads, ""For a beauty like Greta's,"" ""Don't be a silly old fossil,"" and ""You dies of old age, we dies of climate change."""
167,167,迄今为止，这位国宝级人物的职业生涯已有 60 年的历史，为数百万人带来了欢声笑语。,"So far, this national treasure's career spans 60 years, bringing laughter and joy to millions.","So far, this national treasure's career spanned 60 years, brings laughter and joy to million."
168,168,其中一名患者称其“苦不堪言”。 13 岁的肖恩·安德森·科罗纳被诊断出患有 4 期神经母细胞瘤（一种经常在肾上腺中发现的癌症）后，就进行了干细胞治疗。这个男孩整天机器不脱身，机器会从他的血液中采集干细胞。然后，机器会将血液重新注入体内。,"One patient described it as ""unbearably bitter."" 13-year-old Sean Anderson Corona, diagnosed with stage 4 neuroblastoma (a cancer often found in the adrenal glands), undergoes stem cell treatment. The boy is practically attached to machines all day; they extract stem cells from his blood and then reintroduce the blood back into his system.","One patient describes it as ""unbearably bitter."" 13-year-old Sean Anderson Corona, diagnosed with stage 4 neuroblastoma (a cancer often found in the adrenal glands), undergo stem cell treatment. The boy is practically attaches to machines all day; they extracting stem cells from his blood and then reintroduces the blood back into his system."
169,169,电台声称路易斯安纳州WWL 电台节目主持人赛斯·丹拉普威胁起诉反同性恋推文，但推文实则由他本人发出，与朱西·斯莫利特案如出一辙,"A radio station claimed that Louisiana's WWL radio host Seth Dunlap threatened to sue over an anti-LGBT tweet. Turns out, he was the one behind the tweet, a plot twist similar to the Juicy Smollett case.","A radio station claim that Louisiana's WWL radio host Seth Dunlap threatened to suing over an anti-LGBT tweet. Turns out, he were the ones behind the tweet, a plot twist similar to the Juicy Smollett cases."
170,170,Orasure 科技公司生产的 OraQuick 艾滋病毒口腔自检试剂盒，专门针对 18 至 24 岁的年轻人、成年男性和性工作者等易感人群设计。,"Orasure, the tech company behind OraQuick, the DIY HIV oral test kit, designed specifically for the easily influenced crowd of 18 to 24-year-olds, grown-up men, and the heroes of the night.","Orasure, the tech company behind OraQuick, the DIY HIV oral test kit, design specifically for the easily influence crowd of 18 to 24-year-olds, grow-up mans, and the heroes of the nights."
171,171,受害人的父亲盖伊·阿尔福德说道：“我希望我能和你对换，儿子，我希望我能和你对换啊。”,"The victim's father, Guy Alford, lamented, ""I wish I could trade places with you, son. I really wish I could swap with you, oh boy.""","The victim's father, Guy Alford, lamented, ""I wishes I could trade places with you, son. I really wish he could swap with you, oh boy."""
172,172,“如无协议脱欧，英国（卫生）部门会在高度不确定的情形下工作，全面执行预定方案的难度巨大，”政府监管机构写道。,"In the event of a no-deal Brexit, the UK Health Department will be working in a state of utter uncertainty. The difficulty of fully implementing the planned procedures is colossal, stated the government regulatory body with a dramatic flair.","In the event of a no-deal Brexit, the UK Health Department will be works in a state of utter uncertainty. The difficulty of fully implementing the planned procedures is colossal, stating the government regulatory bodies with a dramatic flair."
173,173,她指出，到目前为止，他们还没有看到欧洲有任何因雾化产品引起的死亡病例报告。,"She pointed out that, so far, they haven't spotted any death-by-vaporizer cases in Europe. It seems the misty path to the afterlife remains uncharted.","She pointed out that, so far, they haven't spot any deaths-by-vaporizer cases in Europe. It seem the misty path to the afterlife remain uncharted."
174,174,加里·理查森告诉 WOFL 电视台，他家住在佛罗里达州萨姆特县，星期一他的几个儿子在屋子外清洗“宙斯”的水盘时，一只有毒的珊瑚蛇向他们爬来。理查森说，孩子们当时没看到蛇，但狗看到了，并对蛇发起了攻击。,"Gary Richardson told WOFL, ""We live in Sumter County, Florida, where on Monday, my sons were outside cleaning 'Zeus's' water bowl. Suddenly, a venomous coral snake slithered their way. The kids didn't see it, but the dog did and launched a heroic assault on the snake.""","Gary Richardson tells WOFL, ""We lives in Sumter County, Florida, where on Monday, my sons was outside clean 'Zeus's' water bowl. Suddenly, a venomous coral snake slithers their way. The kids didn't seen it, but the dog do and launch a heroic assault on the snake."""
175,175,巴基斯坦社交媒体明星卡恩代尔·巴洛赫的兄弟上星期五被判谋杀罪名成立，并被判处终身监禁，这是该国最备受瞩目的“名誉杀人案”。,"Last Friday, the brother of Pakistan's social media sensation, Qandeel Baloch, was convicted of murder and sentenced to life imprisonment. This marks the country's most sensational ""honorable murder case.""","Last Friday, the brother of Pakistan's social media sensation, Qandeel Baloch, were convict of murders and sentence to life imprisonment. These marks the country's most sensational ""honorable murder cases."""
176,176,院方已更换冷冻机，传感器监控和警报系统也已升级。,"The hospital has upgraded its freezer, and the sensor surveillance and alarm system got a snazzy makeover. Now, even the ice is living in the lap of luxury.","The hospital have upgraded its freezer, and the sensor surveillance and alarm system gets a snazzy makeover. Now, even the ice are living in the lap of luxury."
177,177,该区是澳大利亚第一个承认动物感知能力的管辖区。,"This area proudly wears the badge of Australia's first jurisdiction to acknowledge the psychic abilities of animals. Yes, even the kangaroos are in on it.","This area proudlily weared the badge of Australia's first jurisdiction to acknowledges the psychic abilities of animals. Yes, even the kangaroo is in on it."
178,178,欧洲国家都非常渴望与伊朗谈判，竟然都暗示道，如果德黑兰愿意进行对话，美国会终结对伊朗的制裁，总统哈桑·鲁哈尼表示。,"European countries are all aboard the excitement train, eager to negotiate with Iran. They've been dropping hints like, ""If Tehran is up for a chat, the US might just call off the sanctions,"" according to President Hassan Rouhani.","European countries is all aboard the excitement train, eager to negotiate with Iran. They've been drop hints like, ""If Tehran is up for a chat, the US might just calls off the sanctions,"" according to President Hassan Rouhani."
179,179,《太阳报》透露，本月早些时候，特里斯坦在德雷克的建议下，花了 40 万英镑为科勒买了一辆保时捷，想与科勒复合。,"The Sun reports that earlier this month, Tristan, following Drake's sage advice, splurged £400,000 on a Porsche for Khloe, aiming for a reconciliation. Love on wheels, anyone?","The Sun report that earlier this month, Tristan, follows Drake's sage advice, splurge £400,000 on a Porsche for Khloe, aim for a reconciliation. Love on wheels, anyone?"
180,180,据美联社和美国有线电视新闻网报道，温网主办方全英俱乐部向威廉姆斯开具了罚单，原因据说是威廉姆斯在 6 月 30 日的室外练习赛中造成了损坏。,"According to reports from the Associated Press and CNN, Wimbledon organizers, the All England Club, handed Serena Williams a fine, allegedly because she caused damage during an outdoor practice session on June 30.","According to reports from the Associated Press and CNN, Wimbledon organizers, the All England Club, hands Serena Williams a fine, allegedly because she causes damage during an outdoor practice session on June 30th."
181,181,佛罗里达州一名男子称，他家中 8 个月大的比特斗牛犬“宙斯”为了保护他的几个儿子，被蛇咬死。,"A man in Florida claims that his 8-month-old pit bull, Zeus, died protecting his sons from a snake bite.","A man in Florida claim that his 8-month-old pit bull, Zeus, die protecting his sons from a snake bites."
182,182,“这些结果是我读过的最令人痛苦和震惊的一部分。”,These findings are the most painfully shocking part I've ever read.,These finding is the most painfully shock part I've ever reads.
183,183,男子对绑架整形外科医生并对其实施折磨虐待的细节供认不讳,The man unabashedly confessed to details of kidnapping a plastic surgeon and subjecting them to torture.,The man unabashedly confesses to details of kidnaps a plastic surgeon and subjected them to tortures.
184,184,他说：“这个问题会得到解决，我可以向你保证。”,"He said, ""This issue will be resolved, I can assure you.""","He says, ""This issue will resolved, I can assure you."""
185,185,不出所料，投资增长的驱动因素是亚洲不断增涨的能源需求；预计中国会超越日本，成为全球最大的液化天然气进口国。,"As expected, the driving force behind investment growth is the continuously rising energy demand in Asia; it is anticipated that China will surpass Japan, becoming the world's largest importer of liquefied natural gas.","As expected, the driving force behind investment growth are the continuously rises energy demands in Asia; it is anticipating that China will surpass Japan, becomes the world's largest importer of liquefied natural gas."
